Ennomos fuscantarius	GCA_905220475.1	ERR6560797	5
Ennomos quercinarius	GCA_910589525.1	ERR6412368	5
Erannis defoliaria	GCA_905404285.1	ERR6560798	5
Erebia aethiops	GCA_923060345.1	ERR6636095	5
Erebia ligea	GCA_917051295.1	ERR7141799	5
Erynnis tages	GCA_905147235.1	ERR6565935	5
Eulithis prunata	GCA_918843925.1	ERR6907890	5
Euplexia lucipara	GCA_921972225.1	ERR6907906	5
Eupsilia transversa	GCA_914767815.1	ERR6808002	5
Fabriciana adippe	GCA_905404265.1	ERR6565939	5
Furcula furcula	GCA_911728495.1	ERR6939219	5
Griposia aprilina	GCA_916610205.1	ERR6939240	5
Habrosyne pyritoides	GCA_907165245.1	ERR6454728	5
Hecatera dysodea	GCA_905332915.1	ERR6406206	5
Hedya salicella	GCA_905404275.1	ERR6436368	5
Hesperia comma	GCA_905404135.1	ERR6565940	5
Hydriomena furcata	GCA_912999785.1	ERR6939218	5
Hylaea fasciaria	GCA_905147375.1	ERR6412026	5
Idaea aversata	GCA_907269075.1	ERR6565942	5
Laspeyria flexula	GCA_905147015.1	ERR6565937	5
Leptidea sinapis	GCA_905404315.1	ERR6565941	5
Limenitis camilla	GCA_905147385.1	ERR6576314 	5
Lysandra bellargus	GCA_905333045.1	ERR6576322	5
Lysandra coridon	GCA_905220515.1	ERR6576318	5
Mamestra brassicae	GCA_905163435.1	ERR6412357	5
Marasmarcha lunaedactyla	GCA_923062675.1	ERR6939285	5
Mesoligia furuncula	GCA_916614155.1	ERR6939247	5
Mythimna impura	GCA_905147345.1	ERR6576317	5
Noctua janthe	GCA_910589295.1	ERR6436377	5
Ochropleura plecta	GCA_905475445.1	ERR6406207	5
Ochlodes sylvanus	GCA_905404295.1	ERR6590586	5
Omphaloscelis lunosa	GCA_916610215.1	ERR6808005	5
Orgyia antiqua	GCA_916999025.1	ERR6939281	5
Pammene fasciana	GCA_911728535.1	ERR6939220	5
Papilio machaon	GCA_912999745.1	ERR6594501	5
Peribatodes rhomboidaria	GCA_911728515.1	ERR6412045	5
Pheosia gnoma	GCA_905404115.1	ERR6412034	5
Philereme vetulata	GCA_918857605.1	ERR6808012	5
Plebejus argus	GCA_905404155.1	ERR6606789	5
Ptilodon capucinus	GCA_914767695.1	ERR6807995	5
Schrankia costaestrigalis	GCA_905475405.1	ERR6606790	5
Selenia dentaria	GCA_917880725.1	ERR6939252,ERR6939253	5
Sesia apiformis	GCA_914767545.1	ERR6808007	5
Spilarctia lutea	GCA_916048165.1	ERR6939234,ERR6807997 	5
Synanthedon vespiformis	GCA_918317495.1	ERR6939257	5
Tinea semifulvella	GCA_910589645.1	ERR6608656	5
Xestia c-nigrum	GCA_916618015.1	ERR6939246,ERR6939245 	5
Ypsolopha scabrella	GCA_910592155.1	ERR6454732,ERR6454731 	5
Zeuzera pyrina	GCA_907165235.1	ERR6454727	5
Zygaena filipendulae	GCA_907165275.1	ERR6436369	5
Nemoura dubitans	GCA_921293005.1	ERR6808018,ERR6808019 	5
Ancistrocerus nigricornis	GCA_916049575.1	ERR6939237	5
Andrena haemorrhoa	GCA_910592295.1	ERR6412038	5
Athalia rosae	GCA_917208135.1	ERR6548410	5
Bombus campestris	GCA_905333015.2	ERR6548406	5
Bombus hypnorum	GCA_911387925.1	ERR6412371	5
Bombus pascuorum	GCA_905332965.1	ERR6548408	5
Bombus sylvestris	GCA_911622165.1	ERR6412372	5
Bombus terrestris	GCA_910591885.1	ERR6558189	5
Dolichovespula media	GCA_911387685.1	ERR6560803	5
Dolichovespula saxonica	GCA_911387935.1	ERR6560800	5
Ectemnius continuus	GCA_910591665.1	ERR6560802	5
Ectemnius lituratus	GCA_910593735.1	ERR6560801	5
